date,swt,v,lh,sh,strat,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev,q_gwlf,doc_gwlf,fdom
2012-06-23,14.369582,62317837.6,-32.992911,-14.826191,0.288002,12.91125,89.67516975,1009.781,80.5,16.47941832,181.875,13.59041667,13.29041667,12.11125,10.49458333,0.412208333,0.411708333,0.401166667,0.388375,10.2,2.038329288,11.142,10.251,58.45116708
2012-06-24,14.796843,62317837.6,-29.435111,-0.278717,0.288002,13.36333333,85.07810183,1012.238198,59.625,11.97676646,287.2916667,14.39458333,13.505,12.20083333,10.52791667,0.406666667,0.411291667,0.403125,0.389,0.7,3.297319711,3.638,11.553,57.77869258
2012-06-25,15.10804,62313654.91,-30.860682,1.683316,0.288002,14.03833333,76.16673421,1015.636954,90.41666667,8.280514588,247.375,14.85708333,13.93416667,12.33416667,10.56541667,0.392875,0.400625,0.402333333,0.389708333,1.6,3.398784165,2.519,11.385,56.21630135
2012-06-26,15.072552,62317837.6,-19.878201,-1.805477,0.288002,15.24041667,89.201827,1012.337678,96.5,17.25420304,157.4583333,15.53,14.77791667,12.56125,10.60708333,0.398125,0.396708333,0.400541667,0.39,1.9,2.05750485,3.161,9.917,57.99653056
2012-06-27,15.324387,62317837.6,-2.980984,0.805588,0.288002,16.53833338,93.68225363,1010.337115,100,12.49189291,95.125,16.04041667,14.98416667,12.80708333,10.655,0.393041667,0.394333333,0.399291667,0.390375,1.7,1.406469983,2.819,9.86,55.81661638
2012-06-28,15.488068,62317837.6,-15.048251,0.69507,0.288002,15.65708338,91.41484279,995.7382483,84.04166667,14.65040263,149.2916667,16.00916671,15.19875,13.04041667,10.70708333,0.418875,0.414083333,0.401458333,0.391,14.8,1.881403983,5.095,9.955,55.39269468
2012-06-29,15.477019,62317837.6,-36.722419,-16.109737,0.288002,13.31541667,92.68939458,990.9925908,97.66666667,17.74602575,86.83333333,14.15083333,14.36958333,13.1925,10.76125,0.416458333,0.41625,0.405,0.391333333,4,1.156717771,7.069,10.056,54.70574965
2012-06-30,15.19321,62317837.6,-101.731646,-46.372609,0.288002,11.5175,89.39621871,1001.659823,86.54166667,20.77378577,220.2083333,13.055,13.36541667,13.14458333,10.81541667,0.418458333,0.416875,0.406625,0.392,8.4,2.203624317,19.345,10.94,53.23903516
2012-07-01,15.137125,62317837.6,-50.920406,-23.460977,0.298151,12.57375,85.24379063,1006.566767,99.41666667,13.69482696,121.9583333,13.02583333,13.03625,13.03,10.86333333,0.412916667,0.413833333,0.407791667,0.392958333,3.5,1.731698659,8.788,11.051,50.80025563
2012-07-02,15.596546,62317837.6,-10.584334,-0.103108,0.30624,15.71333342,86.69422079,1004.77363,93.83333333,5.333927592,202.0833333,15.67791667,14.10291667,12.96958333,10.90916667,0.409416667,0.411041667,0.407541667,0.393625,3.1,2.881992308,5.906,10.931,50.30150574
2012-07-03,15.425275,62317837.6,-14.32972,-5.631475,0.30624,14.85916671,95.06377067,1002.506115,98.33333333,12.21604241,67.29166667,14.97166679,14.55291667,13.10083333,10.955,0.414541667,0.411375,0.407,0.394041667,5.5,1.009047032,6.171,10.644,51.07644257
2012-07-04,15.605977,62317837.6,-27.413166,-6.340813,0.30624,14.69458338,84.51181808,1002.854969,74.04166667,10.30318365,212.4583333,15.25291671,14.57791667,13.18,11.00291667,0.408666667,0.412458333,0.407916667,0.395,1,2.864295815,2.997,11.444,49.89149137
2012-07-05,15.925025,62317837.6,-17.872124,-3.219365,0.271294,15.8675,87.08397854,1009.106544,62.33333333,9.844013879,237.625,16.27375,15.14041671,13.31958333,11.05291667,0.399083333,0.404083333,0.407541667,0.39525,1.6,3.119026841,2.966,10.486,46.2474039
2012-07-06,15.936645,62316387.68,-10.687239,6.407972,0.276154,16.37375,91.12604454,1010.119997,87.125,13.33357897,192.25,16.53833338,15.59458338,13.51125,11.10291667,0.395708333,0.398666667,0.405666667,0.396,1.4,2.44453771,2.192,11.171,47.43022233
2012-07-07,15.961895,62317837.6,-42.698279,-11.849476,0.427786,15.53625004,87.93369704,1009.729528,98.33333333,19.68976233,158.7916667,16.23000004,15.80291667,13.72375,11.15916667,0.388208333,0.394333333,0.404083333,0.396,0,2.046586352,1.807,10.806,56.73540519
2012-07-08,15.914479,62317837.6,-81.38907,-38.74647,0.274595,12.52583333,85.52679196,1011.506467,99.79166667,19.76295175,139.0833333,13.9675,14.73416667,13.82375,11.22166667,0.383291667,0.389541667,0.402583333,0.3965,0.6,1.788371722,1.549,10.431,62.0849228
2012-07-09,15.774228,62317837.6,-81.653883,-39.408315,0.274595,12.38833333,86.92014008,1012.875106,97.16666667,18.66666592,101.5416667,13.07583333,13.67375,13.73625,11.27375,0.388125,0.387791667,0.401666667,0.397,2.3,1.455066855,1.498,10.059,61.09797872
2012-07-10,15.852573,62317837.6,-75.51425,-27.827352,0.274595,12.7675,86.33332963,1012.776761,83.58333333,15.10559573,198.125,13.45291667,13.2675,13.55083333,11.32583333,0.389916667,0.388791667,0.400083333,0.397,3.3,2.256905694,1.844,9.599,61.35844881
2012-07-11,15.88744,62317837.6,-83.616696,-26.97224,0.274595,11.70083333,81.72416671,1012.372744,60.875,14.06636076,264.2083333,13.42583333,13.44041667,13.40916667,11.37375,0.393333333,0.389916667,0.3985,0.397,4.7,2.79889158,1.983,10.535,61.55276484
2012-07-12,16.112203,62310370.2,-55.042628,-14.401297,0.274595,12.40500004,81.04752421,1007.635435,93,9.674723042,222.75,13.06958333,13.0425,13.26333333,11.41541667,0.386916667,0.389416667,0.396583333,0.397,3.2,2.844313655,1.962,11.204,60.71026075
2012-07-13,16.028494,62299436.22,-80.584314,-24.1258,0.308393,13.20708338,81.23374742,1003.289943,78.79166667,13.3931958,231.5,14.04458333,13.77583333,13.20291667,11.455,0.391541667,0.392083333,0.395625,0.397,0.4,2.925906439,1.783,11.01,60.0165146
2012-07-14,15.959512,62303774.13,-86.714255,-28.039373,0.274595,11.955,74.12365975,1009.348275,77.375,14.10338121,237.3333333,12.97791667,13.3425,13.17166667,11.49875,0.380916667,0.387083333,0.394666667,0.397,0.4,2.98138938,1.506,10.567,59.67543604
2012-07-15,16.161719,62312912.88,-51.318056,-12.952588,0.274595,13.31958338,77.97978458,1012.787355,71.70833333,13.52412847,253.4583333,13.59041667,13.26541667,13.08625,11.53,0.375083333,0.381583333,0.393416667,0.397,1.2,3.146967812,1.308,10.208,59.13560313
2012-07-16,16.264732,62317837.6,-23.586128,-10.150118,0.274595,15.29666667,89.70365013,1012.891417,95.70833333,14.09372565,194.8333333,15.29041667,14.26958333,13.11958333,11.55916667,0.380958333,0.379583333,0.391791667,0.397,3.1,2.378485237,1.187,9.521,59.12769497
2012-07-17,16.080705,62317837.6,-17.49848,-10.093069,0.274595,15.19041667,98.84593471,1015.929088,99.91666667,15.47421076,56.125,14.92166667,14.60708333,13.24875,11.605,0.404958333,0.390666667,0.391166667,0.396958333,17.6,0.71476041,5.241,9.134,59.56639103
2012-07-18,16.216456,62317837.6,-45.133213,-12.765325,0.274595,14.27583333,91.76427258,1009.657663,89.91666667,15.41856496,205.25,15.31125,14.82166667,13.37166667,11.64041667,0.420375,0.419916667,0.397458333,0.397,15.4,2.334323557,2.908,10.906,60.61962148
2012-07-19,16.192019,62317837.6,-73.497959,-25.807619,0.274595,12.67583333,80.26482204,1013.375665,58.41666667,13.15344871,217.2916667,14.0175,14.28416667,13.455,11.68,0.408041667,0.410833333,0.402958333,0.397,1.1,2.680142493,2.387,12.075,61.79471801
2012-07-20,16.302918,62311501.32,-46.691152,-12.247727,0.274595,12.66958333,76.57282404,1018.814945,72.79166667,8.282243517,255.25,13.71125,13.53625,13.41333333,11.71541667,0.397583333,0.402208333,0.402625,0.397,1,3.190620508,1.972,11.64,61.77944262
2012-07-21,16.426479,62317837.6,-35.953369,-8.733581,0.274595,13.1695834,80.39331775,1020.931098,97.20833333,13.67966854,159.2916667,13.04666667,13.455,13.34041667,11.755,0.388416667,0.395,0.401583333,0.397,0,2.41060719,1.704,11.23,61.40089589
2012-07-22,16.424497,62317837.6,-17.310509,6.978376,0.274595,16.85291671,91.74513521,1014.783138,100,25.60521229,107.3333333,16.04458333,14.73833333,13.35916667,11.79666667,0.384125,0.389333333,0.400208333,0.397,0.3,1.538884926,3.09,9.582,62.9357428
2012-07-23,16.554353,62317837.6,-18.274264,-8.844433,0.274595,15.36958338,91.15693458,1013.911372,96.5,10.06283765,105.9583333,15.72375,15.38,13.55916667,11.83,0.406791667,0.401208333,0.39925,0.397,9.6,1.522124318,3.39,9.971,59.20957354
2012-07-24,16.606579,62317837.6,-19.311896,-8.343665,0.274595,13.79041671,91.09655854,1016.239422,79.95833333,6.410497779,124,14.75291667,14.76541667,13.67791667,11.8675,0.40825,0.408875,0.400208333,0.397,4.7,1.685420236,2.727,11.571,58.88536728
2012-07-25,16.690357,62317837.6,-46.90748,-12.948557,0.274595,14.2425,84.02179596,1020.365511,98.875,7.577450392,233.375,14.91125,14.33,13.68833333,11.905,0.401458333,0.407041667,0.4015,0.397,0,3.201606719,3.274,11.171,61.59324113
2012-07-26,16.7739,62317837.6,-53.015887,-11.740127,0.274595,14.38208333,79.79612354,1019.117635,81.33333333,9.829493004,273.75,15.27791667,14.905,13.74875,11.955,0.387916667,0.396625,0.400416667,0.397541667,0.2,3.631964986,2.644,12.584,62.79246066
2012-07-27,16.676898,62317837.6,-106.169033,-29.841799,0.274595,13.32791667,83.78543925,1016.295752,50.41666667,17.36299335,233.3333333,14.59666671,14.8675,13.84875,11.99458333,0.385,0.389125,0.39875,0.398,1.9,2.733293369,2.482,11.977,71.03492647
2012-07-28,16.448545,62317837.6,-100.250819,-43.848425,0.274595,12.32375,85.36620033,1011.014496,60.54166667,18.50410113,218.7083333,13.60708333,13.98833333,13.82583333,12.03416667,0.393791667,0.388833333,0.397583333,0.397541667,6.8,2.386999178,4.463,10.726,71.87777383
2012-07-29,16.419421,62317837.6,-90.111676,-32.747968,0.274595,11.86541667,86.14500646,1010.983437,63.125,14.33398885,235.0416667,13.40708333,13.54875,13.71333333,12.07166667,0.402125,0.398458333,0.397,0.397,7.1,2.501430118,2.839,12.248,70.73166768
2012-07-30,16.69282,62317837.6,-38.475262,-9.183979,0.274595,13.11333333,76.91922654,1011.949996,65.04166667,5.677330938,257.7916667,14.19875004,13.64458333,13.59458333,12.105,0.400166667,0.401125,0.397458333,0.397,1.4,3.296281592,2.452,12.646,67.45974535
2012-07-31,16.445292,62317837.6,-43.328886,-22.566984,0.274595,13.82375,92.38888958,1003.038628,93.83333333,17.59586662,58.58333333,13.56125,13.805,13.56958333,12.14666667,0.412208333,0.408375,0.398625,0.397083333,17,0.868566378,10.989,10.947,68.48734089
2012-08-01,16.45819,62317837.6,-69.81477,-21.994086,0.274595,15.33416671,84.25829017,994.2719783,75.16666667,21.5326594,180.1666667,15.18833338,14.43625,13.56541667,12.16333333,0.417041667,0.418333333,0.40725,0.398,2.3,2.314294027,3.778,12.589,72.64255471
2012-08-02,16.348856,62317837.6,-75.2375,-27.583736,0.274595,14.00708338,84.96065525,999.955595,82.625,20.62542475,114.8333333,13.955,14.06541667,13.605,12.205,0.406541667,0.409125,0.407666667,0.398,2.7,1.714385132,2.715,12.831,71.59672923
2012-08-03,16.483103,62317837.6,-41.808529,-14.155094,0.274595,15.05916667,86.34862888,1000.771472,78.66666667,12.89258052,184,15.34041671,14.46541667,13.61541667,12.22791667,0.413833333,0.41175,0.407041667,0.398916667,9.4,2.426665029,2.45,12.134,66.14129289
2012-08-04,16.470633,62317837.6,-58.818728,-7.939341,0.274595,15.83625,83.13980079,1005.011315,62.91666667,18.09964819,229.9166667,15.84875,14.96958333,13.71125,12.255,0.406916667,0.411541667,0.40775,0.399,0.6,3.054386764,2.245,12.372,67.24659011
2012-08-05,16.442716,62307236.9,-78.102711,-28.129858,0.274595,13.13625,86.67731054,1007.800953,95.875,14.01580994,169.5416667,14.56541671,14.87166667,13.82375,12.30291667,0.399625,0.403708333,0.407,0.399166667,1,2.05989744,1.887,11.846,67.57598027
2012-08-06,16.583075,62317837.6,-25.920211,-9.180437,0.274595,13.20083333,90.24992079,1008.845757,93.125,9.20651125,95.41666667,13.42583333,13.77166667,13.81125,12.33208333,0.398375,0.399958333,0.406083333,0.4,2.2,1.378864561,1.778,10.552,64.45535904
2012-08-07,16.885696,62317837.6,-23.925319,-2.157442,0.274595,15.9675,83.14755688,1015.391234,93.54166667,5.98934685,192.375,15.91125,14.58833333,13.76333333,12.355,0.394541667,0.398208333,0.405166667,0.4,0.3,2.78079792,1.856,11.725,62.25205149
2012-08-08,17.229982,62314732.82,-22.859032,0.919707,0.274595,17.12166671,81.96398038,1021.49702,73.79166667,4.210023375,201.75,16.80291667,15.73625,13.905,12.405,0.386458333,0.392333333,0.403416667,0.4,0.5,3.003923985,1.581,11.318,62.27206937
