"swt","sr","st100","st255","sm100","sm255","doc_gwlf","cyday"
7.339406,4.666666667,6.411249788,9.863333333,0.411541667,0.417,11.24,0.945518575599317
7.21334,31.75,6.369583246,9.784166667,0.41525,0.417,9.463,0.951056516295154
7.228573,19.79166667,6.413333083,9.713333333,0.414541667,0.417,8.455,0.956304755963036
7.23255,23.45833333,6.56124995,9.63625,0.41325,0.417,8.059,0.961261695938319
7.115049,30.79166667,6.577916567,9.57375,0.411541667,0.417,7.844,0.965925826289068
6.952729,26.5,6.265416567,9.49875,0.40975,0.417,7.537,0.970295726275996
6.85447,11.16666667,5.971666579,9.427916667,0.407916667,0.416583333,7.281,0.974370064785235
6.726386,26.83333333,5.87999985,9.34875,0.406583333,0.416,7.323,0.978147600733806
6.728709,23.20833333,5.869583246,9.27375,0.406,0.416,7.172,0.981627183447664
6.647574,21.75,5.975833308,9.190416667,0.406,0.416,7.108,0.984807753012208
6.609593,16.83333333,6.121666554,9.127916667,0.406,0.416,7.933,0.987688340595138
6.647051,25.875,6.250833333,9.065416667,0.406,0.415708333,7.778,0.99026806874157
6.621614,15.625,6.305,8.996666667,0.406,0.415,7.779,0.992546151641322
6.671008,26.125,6.3175,8.938333333,0.40725,0.415,7.375,0.994521895368273
6.769404,13.5,6.413333133,8.882083333,0.409,0.415,7.464,0.996194698091746
6.724583,18.375,6.455,8.83,0.40825,0.415,7.25,0.997564050259824
6.955514,7.541666667,6.542499963,8.777916667,0.409958333,0.415,10.064,0.998629534754574
6.93897,28.41666667,6.834166604,8.732083333,0.414958333,0.415,8.501,0.999390827019096
6.93676,24.54166667,7.009166667,8.694583333,0.415708333,0.415,8.109,0.999847695156391
6.92573,23.875,7.01125,8.655,0.415,0.415,7.736,1
6.892119,13.45833333,6.911249863,8.615416667,0.415166667,0.415,9.171,0.999847695156391
6.837679,27.08333333,6.82375,8.58,0.417,0.415,8.653,0.999390827019096
7.011455,5.166666667,6.802916642,8.544583333,0.417,0.415,9.26,0.998629534754574
6.867895,25.625,7.011249975,8.505,0.417,0.415791667,8.349,0.997564050259824
6.882274,7.916666667,6.996666667,8.469583333,0.417416667,0.416,11.098,0.996194698091745
6.84516,21.54166667,7.013333333,8.446666667,0.42275,0.416333333,9.494,0.994521895368273
6.778733,26.125,6.9925,8.405,0.421833333,0.417,7.607,0.999847695156391
6.921613,9.5,6.988333333,8.375833625,0.419916667,0.417791667,7.013,0.999390827019096
7.032573,11.79166667,7.248749925,8.3550005,0.417875,0.418,6.752,0.998629534754574
7.103031,13.375,7.565416592,8.323750188,0.415791667,0.418,6.511,0.997564050259824
7.222063,8.291666667,7.834166604,8.305,0.413583333,0.418,6.441,0.996194698091746
7.579589,6.666666667,7.994583333,8.305,0.41225,0.418,9.642,0.994521895368273
7.715188,6.791666667,8.142500167,8.305,0.4195,0.417666667,10.262,0.992546151641322
7.645474,37,8.336250229,8.305,0.423375,0.418208333,7.864,0.99026806874157
7.501716,32.5,8.244583521,8.305,0.420666667,0.419,6.761,0.987688340595138
7.4207,22.91666667,7.865416642,8.305,0.418458333,0.419,6.22,0.984807753012208
7.308963,26.54166667,7.519583233,8.288333333,0.41625,0.419,6,0.981627183447664
7.246026,25.41666667,7.265416642,8.255,0.414083333,0.419,5.811,0.978147600733806
7.144136,21.375,7.004999888,8.246666667,0.411875,0.419,5.645,0.974370064785235
6.998654,35.83333333,6.79875,8.205,0.411,0.418625,5.567,0.970295726275996
6.808025,16.75,6.621666617,8.177916667,0.410041667,0.418,5.893,0.965925826289068
6.745657,11,6.404999925,8.144583438,0.410291667,0.418,6.042,0.961261695938319
6.782626,27.54166667,6.284166667,8.102917146,0.410208333,0.418,7.875,0.956304755963035
6.792496,19.375,6.288333333,8.055,0.419916667,0.418,10.163,0.951056516295154
