"v","st255","sm100","sm255","cyday"
121715125.579891,6.93666666666667,0.390416666666667,0.327958333333333,0.374606593415912
121914125.579891,6.92,0.38875,0.328541666666667,0.3583679495453
122617125.579891,6.92,0.388583333333333,0.329,0.342020143325669
124241125.579891,6.94083333333333,0.38625,0.329833333333333,0.325568154457157
125588125.579891,6.97,0.384291666666667,0.33,0.309016994374947
126700125.579891,6.97,0.382416666666667,0.330958333333333,0.292371704722737
126380125.579891,6.99291666666667,0.379958333333333,0.331,0.275637355816999
124938125.57989,7.02,0.376083333333333,0.331291666666667,0.258819045102521
124098125.57989,7.03041660416667,0.374166666666667,0.332,0.241921895599668
122903125.57989,7.0699997,0.372416666666667,0.332,0.224951054343865
121383125.57989,7.0699997,0.370625,0.332,0.207911690817759
121478125.57989,7.0699997,0.371375,0.332791666666667,0.190808995376545
121378125.579889,7.0699997,0.371541666666667,0.333,0.17364817766693
117610125.57989,7.0699997,0.369958333333333,0.333,0.156434465040231
117647125.57989,7.0699997,0.367416666666667,0.333,0.139173100960066
118427125.57989,7.06583305833333,0.366083333333333,0.333,0.121869343405147
119970125.579889,7.02,0.371458333333333,0.333916666666667,0.104528463267653
120158125.57989,7.02,0.377458333333333,0.334,0.0871557427476581
132895125.57989,7.3512498875,0.392875,0.33875,-0.207911690817759
131600125.57989,7.37,0.395958333333333,0.339416666666667,-0.224951054343865
130177125.57989,7.41583333333333,0.400166666666667,0.340375,-0.241921895599668
130364125.57989,7.4325,0.402958333333333,0.341458333333333,-0.258819045102521
129971125.57989,7.47,0.401666666666667,0.3425,-0.275637355816999
127594125.57989,7.51166666666667,0.400166666666667,0.343333333333333,-0.292371704722737
124770125.57989,7.55541645416667,0.397166666666667,0.344,-0.309016994374947
122946125.57989,7.607499925,0.3935,0.345,-0.325568154457156
121327125.57989,7.67416666666667,0.391041666666667,0.345041666666667,-0.342020143325669
122094125.57989,7.74083333333333,0.388666666666667,0.346,-0.3583679495453
123475125.57989,7.80958314583333,0.385458333333333,0.346,-0.374606593415912
123724125.57989,7.89083333333333,0.382291666666667,0.346,-0.390731128489274
123428125.57989,7.97000007083333,0.37925,0.346875,-0.4067366430758
124289125.57989,8.05541647916667,0.37575,0.347,-0.422618261740699
124673125.57989,8.14708333333333,0.373,0.347,-0.438371146789078
124289125.57989,8.24499975,0.370833333333333,0.347,-0.453990499739547
124069125.57989,8.34708333333333,0.36975,0.347,-0.469471562785891
126341125.57989,8.44916664583333,0.368541666666667,0.347,-0.484809620246337
126603125.57989,8.54499975,0.366541666666667,0.347,-0.5
126942125.57989,8.63458333333333,0.364291666666667,0.347,-0.515038074910054
125829125.57989,8.70541666666667,0.362666666666667,0.347,-0.529919264233205
126167125.57989,8.7720829375,0.3605,0.347,-0.544639035015027
125733125.57989,8.83458333333333,0.358833333333333,0.347,-0.559192903470747
125106125.57989,8.89291666666667,0.358083333333333,0.347,-0.573576436351046
125092125.57989,8.95333333333333,0.359291666666667,0.347,-0.587785252292473
122379125.57989,9.02833295833333,0.358583333333333,0.347,-0.601815023152048
120345125.57989,9.095,0.357083333333333,0.347,-0.615661475325658
120892125.57989,9.17416666666667,0.357416666666667,0.347,-0.629320391049837
123571125.57989,9.2470830625,0.362625,0.347,-0.642787609686539
126555125.57989,9.330416625,0.372375,0.347,-0.656059028990507
129151125.57989,9.40125,0.373916666666667,0.347,-0.669130606358858
138186125.57989,9.48458316666667,0.394625,0.347708333333333,-0.681998360062498
155303125.579888,12.4283333333333,0.374,0.361,-0.984807753012208
156599125.579888,12.5283330833333,0.371541666666667,0.361,-0.987688340595138
157847125.579888,12.6325,0.368916666666667,0.361,-0.99026806874157
158930125.579887,12.7387497708333,0.365833333333333,0.361,-0.992546151641322
160018125.579887,12.8533333333333,0.360666666666667,0.360541666666667,-0.994521895368273
161053125.579887,12.9637498958333,0.358291666666667,0.36,-0.996194698091746
160765125.579887,13.0720832083333,0.356041666666667,0.36,-0.997564050259824
160765125.579887,13.2949997708333,0.350416666666667,0.36,-0.999390827019096
161053125.579887,13.4095833333333,0.3455,0.359458333333333,-0.999847695156391
160938125.579887,13.5199997916667,0.342,0.359,-1
